utility,243.65201,-1257.4474,ufdnkmkknh,548738
utility,244.50389,-418.34406,gndgtzbsfa,839316
luxury,377.9624,-1577.2203,3,hard
essential,331.80664,-27.620056
utility,287.07037,-670.2999,iqgbqrjyrp,870616
essential,158.72897,-575.0842
utility,340.3367,-845.7614,dvdtpcvmbe,516607
utility,241.9887,-900.5677,fwivahdlwz,327395
essential,332.00598,385.02588
utility,371.10028,-168.08087,frgzzfjxvp,284520
essential,195.07112,46.55719
luxury,305.2505,-349.66724,1,almost impossible
utility,376.28705,-1262.2859,cvewoshjcl,858437
utility,302.22656,-1536.2032,beramkterw,972669
utility,202.60059,-1188.3157,diaymxdgxi,894321
luxury,293.20572,-61.215942,2,almost impossible
utility,311.0082,455.14322,wyzglegdxr,474543
essential,274.7248,-1443.0415
essential,179.78906,452.9738
utility,386.8023,261.66333,ojdgtjsbbc,044573
essential,270.10577,-976.94763
luxury,260.87585,-264.86652,9,very easy
essential,175.57991,-1255.1692
essential,240.76422,-1276.0074
utility,343.67166,17.854065,zjfbdtsurd,007102
essential,306.26703,52.267487
luxury,318.4655,-511.66174,7,very easy
essential,274.4147,151.034
utility,364.20343,278.00287,irihajvnfe,235186
utility,298.82535,384.12946,njqdzdgtdq,357610
essential,261.60825,-690.20105
luxury,310.09213,-704.7689,2,almost impossible
utility,323.5485,-1084.0642,qdhzlbrdzo,532102
utility,315.7173,-844.59314,lgvptiuaeb,233905
luxury,444.49243,73.609436,3,medium
utility,380.34857,-1209.2102,wzrvwpstha,732871
essential,295.93204,-273.71936
utility,378.61102,-193.29663,xbylybsfza,859663
utility,334.46655,-1081.0455,uixvlsqqpb,299407
essential,259.8272,-46.017273
luxury,252.8918,166.3736,2,hard
luxury,367.30313,-198.1016,7,very easy
utility,260.30115,-366.83948,bhbvtxzglk,196192
essential,159.43498,-415.68756
luxury,345.5838,-148.25589,3,very easy
essential,336.1504,143.34302
utility,244.32678,-351.146,chuiqzwezj,877613
luxury,402.27582,-1621.4226,3,almost impossible
luxury,387.9033,-989.74744,9,very easy
utility,315.58347,385.18167,zndwhubudh,079672
utility,202.77374,330.8426,elajludsbv,825337
utility,241.0205,-1819.5559,vhxbcklbmg,053230
essential,200.09534,314.694
essential,223.44568,-361.81067
luxury,354.91388,-52.21161,6,almost impossible
utility,324.59558,-941.8911,scjxrxnaot,032571
utility,268.36578,225.06934,nyetwpvgkv,516378
essential,346.94666,-247.93106
luxury,310.98615,485.15958,3,medium
luxury,300.4495,-236.30728,6,almost impossible
utility,253.22955,-504.71625,xjcbeplasu,396802
utility,341.68945,103.30557,clzztrevxy,272321
luxury,294.84644,-1308.8435,8,very hard
utility,310.375,-1231.1908,pqnfrxstnp,602611
essential,308.0476,152.9884
luxury,396.42288,-958.69824,9,almost impossible
luxury,419.4328,288.51404,2,very easy
utility,203.81265,-839.06964,rsuhiczxzy,585779
utility,383.16364,-180.48535,axzfgkwkmg,420569
luxury,330.94788,440.28275,9,easy
utility,201.0635,-175.2442,qfyytfpjev,230612
utility,380.83112,-1643.0586,kfdxebdefs,324389
essential,257.6926,-349.81165
essential,171.9726,-1770.7715
utility,389.5661,721.11914,insrdhtrpc,249870
essential,320.59326,-410.40955
utility,308.78152,-1503.8394,xhexuxshqy,493597
