utility,249.91666,550.3464,ajrtlslypk,011809
utility,353.74152,-874.0207,hncsrdozze,310681
utility,396.5788,-182.63168,wbzgjcxbjc,778633
utility,398.43408,-1178.1472,orhzefyeht,020262
essential,264.45383,-231.60144
essential,236.63956,-1025.4668
luxury,370.33057,-1108.4285,6,almost impossible
essential,246.48575,473.03946
luxury,299.4909,585.22565,3,very easy
utility,357.3849,-1047.7845,rhjeysevgv,660808
essential,161.77988,538.01306
luxury,279.19913,-54.172943,8,very easy
essential,245.35773,-542.72656
utility,267.626,-1767.396,ybeycdsysn,252042
luxury,438.79712,649.02356,3,easy
utility,203.97891,-1340.2421,vabxrdytxx,889132
utility,323.7788,-950.68414,adjuypvajn,882856
utility,308.76447,102.33874,iedreqpjti,539960
essential,309.93137,-576.43304
utility,262.9753,-1125.3962,wlpunomgzi,149289
utility,394.60767,59.83908,wtfhiurhbc,958619
utility,224.93697,-228.84946,jifaaraikd,859998
essential,323.69647,-80.06227
utility,331.8833,145.96426,brayiletti,565585
utility,310.2264,-197.0042,ovfkhuqcea,932721
utility,309.41425,-749.7347,tutyzapntr,668908
utility,257.72083,-505.85358,thdewogkmi,298759
utility,298.34622,-1198.5342,dhxsocrwwi,704886
utility,257.91846,123.30044,cguytvxcqu,152227
essential,301.86993,-1246.9888
utility,242.49333,347.36307,vnxjzizinq,562415
utility,208.56015,-281.75934,pfzizzvkrl,531123
utility,360.69995,-71.9599,lzqegcbmed,072298
utility,244.42291,-1143.7266,ztcxaqxogj,160655
utility,335.60077,-1035.7625,zijxqanicy,206679
luxury,307.903,-516.03326,8,hard
utility,363.2444,-403.77832,ngsoplaxbd,594356
essential,285.846,-1823.593
utility,386.4311,-153.32635,owccirfjbj,778515
essential,275.8341,37.430786
essential,309.31238,155.46048
utility,317.3305,26.86731,eycsfxxnrl,060389
utility,229.42947,516.76074,vhadirvkvf,644061
utility,343.53876,76.169136,mepdaldexw,526304
luxury,416.47366,98.65497,7,almost impossible
utility,226.8925,-1949.0424,wruouqgmbu,296875
utility,291.5454,-1012.90186,jwqrfisqkj,729942
essential,301.61166,0.25268555
essential,181.95296,-578.98474
utility,337.06097,-1410.6737,iuwvlsjynj,279895
luxury,310.58786,-724.1388,1,medium
utility,203.07486,-1548.0444,wmwgnvwonj,952406
utility,365.8767,13.2630005,semastogmf,708283
luxury,251.56892,322.8329,6,very easy
utility,368.58777,-1287.7753,mqavzsfchd,472172
utility,325.1192,-13.609192,vxaazpjiqb,944292
utility,355.6333,-176.9306,kufonckxog,185089
essential,250.56099,-888.4528
luxury,332.43958,-1057.804,6,almost impossible
essential,208.49524,-714.29956
essential,208.20316,255.38977
essential,231.81844,-101.161865
utility,202.81497,775.30286,zekbgnhfth,395070
luxury,343.71014,-1417.1141,11,almost impossible
utility,340.29852,-23.972778,fbzakkxpyb,508182
essential,330.76602,-132.23163
utility,349.26404,-1458.1677,szopxkjxvb,598909
utility,244.57416,-548.1241,ckkoilvyxd,776357
utility,296.20447,706.0813,uerbzxsluz,051610
utility,389.75116,631.46063,dkvufnaxdt,468030
essential,244.43513,-908.656
essential,273.35693,79.51272
